plant_id,plant_label,timestamp_hour,generation_ac_kw,generation_dc_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw,capacity_factor,hour_sin,hour_cos
4136001,Plant_2,2020-05-17 13:00:00,14933.610595238093,15279.380357142858,35.71828411235632,56.17623061609195,0.7511496296781609,20427.251,0.7310631565274296,-0.2588190451025208,-0.9659258262890683
4135001,Plant_1,2020-05-17 14:00:00,15158.1178571,154940.383927,34.24005043333334,48.93140163333333,0.5259670066666666,27610.891,0.548990536274255,-0.4999999999999997,-0.8660254037844388
4136001,Plant_2,2020-05-17 14:00:00,15329.867619047618,15670.48392857143,36.61635713390805,51.98339552931034,0.6473845409367817,20427.251,0.7504616073424475,-0.4999999999999997,-0.8660254037844388
4135001,Plant_1,2020-05-17 15:00:00,15370.110267850001,157003.941963,34.98917440952381,49.21295312023809,0.5185228104285714,27610.891,0.5566683910291051,-0.7071067811865471,-0.7071067811865479
4136001,Plant_2,2020-05-17 15:00:00,8776.644642857143,8934.996904761905,35.663304688793104,42.13832030862069,0.27704410415229885,20427.251,0.4296537327933721,-0.7071067811865471,-0.7071067811865479
4135001,Plant_1,2020-05-17 16:00:00,10250.1885417,104515.54315525,31.174709830952377,38.86334765595238,0.3352452847619047,27610.891,0.37123715209697505,-0.8660254037844384,-0.5000000000000004
4136001,Plant_2,2020-05-17 16:00:00,11319.9438003663,11544.577527472527,35.919488064814814,42.8133075074074,0.35402333207407394,20427.251,0.5541589419137357,-0.8660254037844384,-0.5000000000000004
4135001,Plant_1,2020-05-17 17:00:00,3198.65133921,32734.812500625,27.844508734523806,30.243215540476193,0.10356787474523806,27610.891,0.11584745089211355,-0.9659258262890683,-0.25881904510252063
4136001,Plant_2,2020-05-17 17:00:00,3410.154642857143,3488.8229761904763,35.242389190804595,37.20280244310344,0.11120672402614938,20427.251,0.16694143734059677,-0.9659258262890683,-0.25881904510252063
4135001,Plant_1,2020-05-17 18:00:00,238.1571428575,2465.74107145,26.157002700000003,25.36307478333333,0.008707614050644949,27610.891,0.008625478361328506,-1.0,-1.8369701987210297e-16
4136001,Plant_2,2020-05-17 18:00:00,789.8010714285714,814.0988095238096,33.79136377672414,32.94870741954023,0.02465758992870685,20427.251,0.0386640900152728,-1.0,-1.8369701987210297e-16
4135001,Plant_1,2020-05-17 19:00:00,0.0,0.0,25.89215509285714,24.07597265119048,0.0,27610.891,0.0,-0.9659258262890684,0.2588190451025203
4136001,Plant_2,2020-05-17 19:00:00,0.0,0.0,31.002932477298856,29.92823356695402,0.0,20427.251,0.0,-0.9659258262890684,0.2588190451025203
4135001,Plant_1,2020-05-17 20:00:00,0.0,0.0,25.4372325,24.018703249999998,0.0,27610.891,0.0,-0.8660254037844386,0.5000000000000001
